,Well,Fluor,Target,Content,Sample,Biological Set Name,Cq,Cq Mean,Cq Std. Dev,Starting Quantity (SQ),Log Starting Quantity,SQ Mean,SQ Std. Dev,Set Point,Well Note
,A01,SYBR,HSP90,Unkn-01,A1C,,24.4024003679045,24.3492904466237,0.0471710080298523,NaN,NaN,NaN,NaN,60,
,A02,SYBR,HSP90,Unkn-01,A1C,,24.3332047837014,24.3492904466237,0.0471710080298523,NaN,NaN,NaN,NaN,60,
,A03,SYBR,HSP90,Unkn-01,A1C,,24.3122661882651,24.3492904466237,0.0471710080298523,NaN,NaN,NaN,NaN,60,
,A04,SYBR,HSP90,Unkn-02,A2C,,24.8863356125784,24.8512050889358,0.0363809806666032,NaN,NaN,NaN,NaN,60,
,A05,SYBR,HSP90,Unkn-02,A2C,,24.8535887740968,24.8512050889358,0.0363809806666032,NaN,NaN,NaN,NaN,60,
,A06,SYBR,HSP90,Unkn-02,A2C,,24.813690880132,24.8512050889358,0.0363809806666032,NaN,NaN,NaN,NaN,60,
,A07,SYBR,HSP90,Unkn-03,A3C,,23.6726208688217,23.6402330668592,0.0895694734827506,NaN,NaN,NaN,NaN,60,
,A08,SYBR,HSP90,Unkn-03,A3C,,23.7091036313909,23.6402330668592,0.0895694734827506,NaN,NaN,NaN,NaN,60,
,A09,SYBR,HSP90,Unkn-03,A3C,,23.538974700365,23.6402330668592,0.0895694734827506,NaN,NaN,NaN,NaN,60,
,A10,SYBR,HSP90,Unkn-04,A4C,,24.4115428113229,24.6491689206623,0.322786058296263,NaN,NaN,NaN,NaN,60,
,A11,SYBR,HSP90,Unkn-04,A4C,,24.5193030386473,24.6491689206623,0.322786058296263,NaN,NaN,NaN,NaN,60,
,A12,SYBR,HSP90,Unkn-04,A4C,,25.0166609120166,24.6491689206623,0.322786058296263,NaN,NaN,NaN,NaN,60,
,B01,SYBR,HSP90,Unkn-05,A5C,,24.670290862108,24.692887657826,0.0520772841884846,NaN,NaN,NaN,NaN,60,
,B02,SYBR,HSP90,Unkn-05,A5C,,24.7524466208071,24.692887657826,0.0520772841884846,NaN,NaN,NaN,NaN,60,
,B03,SYBR,HSP90,Unkn-05,A5C,,24.6559254905628,24.692887657826,0.0520772841884846,NaN,NaN,NaN,NaN,60,
,B04,SYBR,HSP90,Unkn-06,B1C,,24.1216275895535,24.0409631629436,0.079382923321226,NaN,NaN,NaN,NaN,60,
,B05,SYBR,HSP90,Unkn-06,B1C,,23.9629270211325,24.0409631629436,0.079382923321226,NaN,NaN,NaN,NaN,60,
,B06,SYBR,HSP90,Unkn-06,B1C,,24.0383348781449,24.0409631629436,0.079382923321226,NaN,NaN,NaN,NaN,60,
,B07,SYBR,HSP90,Unkn-07,B2C,,24.7917794407649,26.192242154987,2.30986735150553,NaN,NaN,NaN,NaN,60,
,B08,SYBR,HSP90,Unkn-07,B2C,,28.8583105656471,26.192242154987,2.30986735150553,NaN,NaN,NaN,NaN,60,
,B09,SYBR,HSP90,Unkn-07,B2C,,24.9266364585489,26.192242154987,2.30986735150553,NaN,NaN,NaN,NaN,60,
,B10,SYBR,HSP90,Unkn-08,B3C,,24.3112334205719,24.3174010769419,0.107878825029927,NaN,NaN,NaN,NaN,60,
,B11,SYBR,HSP90,Unkn-08,B3C,,24.2127383928817,24.3174010769419,0.107878825029927,NaN,NaN,NaN,NaN,60,
,B12,SYBR,HSP90,Unkn-08,B3C,,24.4282314173722,24.3174010769419,0.107878825029927,NaN,NaN,NaN,NaN,60,
,C01,SYBR,HSP90,Unkn-09,B4C,,23.4939792111102,23.4172439721349,0.0705080586447969,NaN,NaN,NaN,NaN,60,
,C02,SYBR,HSP90,Unkn-09,B4C,,23.4024382638262,23.4172439721349,0.0705080586447969,NaN,NaN,NaN,NaN,60,
,C03,SYBR,HSP90,Unkn-09,B4C,,23.3553144414682,23.4172439721349,0.0705080586447969,NaN,NaN,NaN,NaN,60,
,C04,SYBR,HSP90,Unkn-10,B5C,,24.0732476378485,24.0768057488006,0.0230905336453269,NaN,NaN,NaN,NaN,60,
,C05,SYBR,HSP90,Unkn-10,B5C,,24.0557008004997,24.0768057488006,0.0230905336453269,NaN,NaN,NaN,NaN,60,
,C06,SYBR,HSP90,Unkn-10,B5C,,24.1014688080537,24.0768057488006,0.0230905336453269,NaN,NaN,NaN,NaN,60,
,C07,SYBR,HSP90,Unkn-11,C1C,,25.1439077876204,25.0766213110196,0.0798049885415782,NaN,NaN,NaN,NaN,60,
,C08,SYBR,HSP90,Unkn-11,C1C,,24.9884507057728,25.0766213110196,0.0798049885415782,NaN,NaN,NaN,NaN,60,
,C09,SYBR,HSP90,Unkn-11,C1C,,25.0975054396656,25.0766213110196,0.0798049885415782,NaN,NaN,NaN,NaN,60,
,C10,SYBR,HSP90,Unkn-12,C2C,,23.0348466021522,23.0282863298816,0.0264719030319825,NaN,NaN,NaN,NaN,60,
,C11,SYBR,HSP90,Unkn-12,C2C,,23.0508612468488,23.0282863298816,0.0264719030319825,NaN,NaN,NaN,NaN,60,
,C12,SYBR,HSP90,Unkn-12,C2C,,22.9991511406437,23.0282863298816,0.0264719030319825,NaN,NaN,NaN,NaN,60,
,D01,SYBR,HSP90,Unkn-13,C3C,,23.8264220930564,23.8080148498349,0.0223836240367337,NaN,NaN,NaN,NaN,60,
,D02,SYBR,HSP90,Unkn-13,C3C,,23.7830979639943,23.8080148498349,0.0223836240367337,NaN,NaN,NaN,NaN,60,
,D03,SYBR,HSP90,Unkn-13,C3C,,23.8145244924541,23.8080148498349,0.0223836240367337,NaN,NaN,NaN,NaN,60,
,D04,SYBR,HSP90,Unkn-14,C4C,,24.3976470231404,24.3468197352984,0.0859504000986466,NaN,NaN,NaN,NaN,60,
,D05,SYBR,HSP90,Unkn-14,C4C,,24.3952296065002,24.3468197352984,0.0859504000986466,NaN,NaN,NaN,NaN,60,
,D06,SYBR,HSP90,Unkn-14,C4C,,24.2475825762546,24.3468197352984,0.0859504000986466,NaN,NaN,NaN,NaN,60,
,D07,SYBR,HSP90,Unkn-15,C5C,,24.0981162761176,24.0760343096631,0.0283533265260897,NaN,NaN,NaN,NaN,60,
,D08,SYBR,HSP90,Unkn-15,C5C,,24.0859265821124,24.0760343096631,0.0283533265260897,NaN,NaN,NaN,NaN,60,
,D09,SYBR,HSP90,Unkn-15,C5C,,24.0440600707593,24.0760343096631,0.0283533265260897,NaN,NaN,NaN,NaN,60,
,D10,SYBR,HSP90,Unkn-16,D1C,,24.5978529332823,24.570587477512,0.068203283882258,NaN,NaN,NaN,NaN,60,
,D11,SYBR,HSP90,Unkn-16,D1C,,24.6209401708065,24.570587477512,0.068203283882258,NaN,NaN,NaN,NaN,60,
,D12,SYBR,HSP90,Unkn-16,D1C,,24.492969328447,24.570587477512,0.068203283882258,NaN,NaN,NaN,NaN,60,
,E01,SYBR,HSP90,Unkn-17,D2C,,23.8213487019098,23.6982943671771,0.108964893693011,NaN,NaN,NaN,NaN,60,
,E02,SYBR,HSP90,Unkn-17,D2C,,23.6594954000286,23.6982943671771,0.108964893693011,NaN,NaN,NaN,NaN,60,
