,Well,Fluor,Target,Content,Sample,Biological Set Name,Cq,Cq Mean,Cq Std. Dev,Starting Quantity (SQ),Log Starting Quantity,SQ Mean,SQ Std. Dev,Set Point,Well Note
,A01,SYBR,GAPDH,Unkn-01,A1C,,23.8369144527842,23.5558066630727,0.343450815723719,NaN,NaN,NaN,NaN,60,
,A02,SYBR,GAPDH,Unkn-01,A1C,,23.6575176454566,23.5558066630727,0.343450815723719,NaN,NaN,NaN,NaN,60,
,A03,SYBR,GAPDH,Unkn-01,A1C,,23.1729878909773,23.5558066630727,0.343450815723719,NaN,NaN,NaN,NaN,60,
,A04,SYBR,GAPDH,Unkn-02,A2C,,24.2243873470584,24.3100383713611,0.116409309892425,NaN,NaN,NaN,NaN,60,
,A05,SYBR,GAPDH,Unkn-02,A2C,,24.2631473635367,24.3100383713611,0.116409309892425,NaN,NaN,NaN,NaN,60,
,A06,SYBR,GAPDH,Unkn-02,A2C,,24.4425804034882,24.3100383713611,0.116409309892425,NaN,NaN,NaN,NaN,60,
,A07,SYBR,GAPDH,Unkn-03,A3C,,23.592923932269,23.6398574760467,0.261055949950174,NaN,NaN,NaN,NaN,60,
,A08,SYBR,GAPDH,Unkn-03,A3C,,23.9211965823488,23.6398574760467,0.261055949950174,NaN,NaN,NaN,NaN,60,
,A09,SYBR,GAPDH,Unkn-03,A3C,,23.4054519135223,23.6398574760467,0.261055949950174,NaN,NaN,NaN,NaN,60,
,A10,SYBR,GAPDH,Unkn-04,A4C,,24.0449767987891,24.0920285114748,0.0492864133607627,NaN,NaN,NaN,NaN,60,
,A11,SYBR,GAPDH,Unkn-04,A4C,,24.087827976203,24.0920285114748,0.0492864133607627,NaN,NaN,NaN,NaN,60,
,A12,SYBR,GAPDH,Unkn-04,A4C,,24.1432807594324,24.0920285114748,0.0492864133607627,NaN,NaN,NaN,NaN,60,
,B01,SYBR,GAPDH,Unkn-05,A5C,,23.6721958328189,23.5504813161989,0.122002318611036,NaN,NaN,NaN,NaN,60,
,B02,SYBR,GAPDH,Unkn-05,A5C,,23.5510548976963,23.5504813161989,0.122002318611036,NaN,NaN,NaN,NaN,60,
,B03,SYBR,GAPDH,Unkn-05,A5C,,23.4281932180815,23.5504813161989,0.122002318611036,NaN,NaN,NaN,NaN,60,
,B04,SYBR,GAPDH,Unkn-06,B1C,,23.654136434933,23.7002295803591,0.0745124425002506,NaN,NaN,NaN,NaN,60,
,B05,SYBR,GAPDH,Unkn-06,B1C,,23.6603581862748,23.7002295803591,0.0745124425002506,NaN,NaN,NaN,NaN,60,
,B06,SYBR,GAPDH,Unkn-06,B1C,,23.7861941198693,23.7002295803591,0.0745124425002506,NaN,NaN,NaN,NaN,60,
,B07,SYBR,GAPDH,Unkn-07,B2C,,23.7737439834377,23.7271793028578,0.0741725727092006,NaN,NaN,NaN,NaN,60,
,B08,SYBR,GAPDH,Unkn-07,B2C,,23.7661494198219,23.7271793028578,0.0741725727092006,NaN,NaN,NaN,NaN,60,
,B09,SYBR,GAPDH,Unkn-07,B2C,,23.6416445053137,23.7271793028578,0.0741725727092006,NaN,NaN,NaN,NaN,60,
,B10,SYBR,GAPDH,Unkn-08,B3C,,24.1480456595318,24.4418764522924,0.399924852586607,NaN,NaN,NaN,NaN,60,
,B11,SYBR,GAPDH,Unkn-08,B3C,,24.8973165423937,24.4418764522924,0.399924852586607,NaN,NaN,NaN,NaN,60,
,B12,SYBR,GAPDH,Unkn-08,B3C,,24.2802671549516,24.4418764522924,0.399924852586607,NaN,NaN,NaN,NaN,60,
,C01,SYBR,GAPDH,Unkn-09,B4C,,23.4421800647883,23.4020493716753,0.0442868558002705,NaN,NaN,NaN,NaN,60,
,C02,SYBR,GAPDH,Unkn-09,B4C,,23.3545345952636,23.4020493716753,0.0442868558002705,NaN,NaN,NaN,NaN,60,
,C03,SYBR,GAPDH,Unkn-09,B4C,,23.409433454974,23.4020493716753,0.0442868558002705,NaN,NaN,NaN,NaN,60,
,C04,SYBR,GAPDH,Unkn-10,B5C,,24.0183020513756,23.6407699992607,0.37323792827478,NaN,NaN,NaN,NaN,60,
,C05,SYBR,GAPDH,Unkn-10,B5C,,23.2719797711573,23.6407699992607,0.37323792827478,NaN,NaN,NaN,NaN,60,
,C06,SYBR,GAPDH,Unkn-10,B5C,,23.6320281752492,23.6407699992607,0.37323792827478,NaN,NaN,NaN,NaN,60,
,C07,SYBR,GAPDH,Unkn-11,C1C,,24.0984337624459,24.1475407289055,0.044144209460705,NaN,NaN,NaN,NaN,60,
,C08,SYBR,GAPDH,Unkn-11,C1C,,24.1839302001703,24.1475407289055,0.044144209460705,NaN,NaN,NaN,NaN,60,
,C09,SYBR,GAPDH,Unkn-11,C1C,,24.1602582241002,24.1475407289055,0.044144209460705,NaN,NaN,NaN,NaN,60,
