Sample	FastQC_mqc-generalstats-fastqc-percent_duplicates	FastQC_mqc-generalstats-fastqc-percent_gc	FastQC_mqc-generalstats-fastqc-avg_sequence_length	FastQC_mqc-generalstats-fastqc-median_sequence_length	FastQC_mqc-generalstats-fastqc-percent_fails	FastQC_mqc-generalstats-fastqc-total_sequences
fastp-R1-31bp-auto_adapters-polyG	84.27172037147189	45.0	25.672764190489403	27	27.27272727272727	12801426.0
fastp-R1-auto_adapters-polyG	84.0076422876555	47.0	31.889647569985783	27	36.36363636363637	16984592.0
fastp-adapters-polyG-31bp-merged	85.18380054994918	45.0	26.457417124376896	28	27.27272727272727	12259576.0
fastp-adapters-polyG-31bp.R1	84.42680112963241	45.0	25.715609791783777	27	27.27272727272727	13190855.0
fastp-adapters-polyG-31bp.R2	84.45847121166209	45.0	25.666115881040312	27	27.27272727272727	13190855.0
fastp-adapters-polyG.R1	85.47126112379874	46.0	29.327930386989856	27	27.27272727272727	16734573.0
fastp-adapters-polyG.R2	85.72365073226578	46.0	29.520784904401207	27	36.36363636363637	16734573.0
fastp-polyG_only.R1	84.16935477850483	51.0	87.20067952555986	92	45.45454545454545	19450041.0
fastp-polyG_only.R2	85.26074494345401	46.0	95.13509765866303	92	45.45454545454545	19450041.0
sRNA-POR-79-S1-TP2-fastp-adapters-polyG-31bp-bbmerge	85.09672016430879	45.0	26.30449297984049	28	27.27272727272727	12346728.0
sRNA-POR-79-S1-TP2-fastp-adapters-polyG-bbmerge	86.40222550512429	46.0	28.8223975046101	24	36.36363636363637	15533284.0
sRNA-POR-79-S1-TP2-fastp-polyG_only-bbmerge	85.229443219729	46.0	29.54933721364193	24	36.36363636363637	12649853.0
sRNA-POR-79-S1-TP2-raw-bbmerge	62.796561076441	50.0	130.50176422571556	154	45.45454545454545	151908.0
