,Well,Fluor,Target,Content,Sample,Biological Set Name,Cq,Cq Mean,Cq Std. Dev,Starting Quantity (SQ),Log Starting Quantity,SQ Mean,SQ Std. Dev,Set Point,Well Note
,A01,SYBR,cGAS,Unkn-01,A1C,,31.0988949285336,30.5056938760623,0.595851299524613,NaN,NaN,NaN,NaN,60,
,A02,SYBR,cGAS,Unkn-01,A1C,,30.5109594702432,30.5056938760623,0.595851299524613,NaN,NaN,NaN,NaN,60,
,A03,SYBR,cGAS,Unkn-01,A1C,,29.9072272294101,30.5056938760623,0.595851299524613,NaN,NaN,NaN,NaN,60,
,A04,SYBR,cGAS,Unkn-02,A2C,,30.0401524825603,30.1762264041498,0.136284669511984,NaN,NaN,NaN,NaN,60,
,A05,SYBR,cGAS,Unkn-02,A2C,,30.1758058814862,30.1762264041498,0.136284669511984,NaN,NaN,NaN,NaN,60,
,A06,SYBR,cGAS,Unkn-02,A2C,,30.3127208484028,30.1762264041498,0.136284669511984,NaN,NaN,NaN,NaN,60,
,A07,SYBR,cGAS,Unkn-03,A3C,,30.7117168820583,30.1092801646388,0.672541461429025,NaN,NaN,NaN,NaN,60,
,A08,SYBR,cGAS,Unkn-03,A3C,,30.2324608144926,30.1092801646388,0.672541461429025,NaN,NaN,NaN,NaN,60,
,A09,SYBR,cGAS,Unkn-03,A3C,,29.3836627973656,30.1092801646388,0.672541461429025,NaN,NaN,NaN,NaN,60,
,A10,SYBR,cGAS,Unkn-04,A4C,,32.4734132865437,31.8380314894537,0.570475448775913,NaN,NaN,NaN,NaN,60,
,A11,SYBR,cGAS,Unkn-04,A4C,,31.6708720381252,31.8380314894537,0.570475448775913,NaN,NaN,NaN,NaN,60,
,A12,SYBR,cGAS,Unkn-04,A4C,,31.3698091436922,31.8380314894537,0.570475448775913,NaN,NaN,NaN,NaN,60,
,B01,SYBR,cGAS,Unkn-05,A5C,,28.9817954985572,29.0489638064152,0.0705195346355581,NaN,NaN,NaN,NaN,60,
,B02,SYBR,cGAS,Unkn-05,A5C,,29.1224142190078,29.0489638064152,0.0705195346355581,NaN,NaN,NaN,NaN,60,
,B03,SYBR,cGAS,Unkn-05,A5C,,29.0426817016806,29.0489638064152,0.0705195346355581,NaN,NaN,NaN,NaN,60,
,B04,SYBR,cGAS,Unkn-06,B1C,,28.6913973645286,29.8246306757898,1.52438460503523,NaN,NaN,NaN,NaN,60,
,B05,SYBR,cGAS,Unkn-06,B1C,,31.5576885518659,29.8246306757898,1.52438460503523,NaN,NaN,NaN,NaN,60,
,B06,SYBR,cGAS,Unkn-06,B1C,,29.2248061109749,29.8246306757898,1.52438460503523,NaN,NaN,NaN,NaN,60,
,B07,SYBR,cGAS,Unkn-07,B2C,,31.3182100262322,31.2450955567082,0.287660133139216,NaN,NaN,NaN,NaN,60,
,B08,SYBR,cGAS,Unkn-07,B2C,,30.9279335145081,31.2450955567082,0.287660133139216,NaN,NaN,NaN,NaN,60,
,B09,SYBR,cGAS,Unkn-07,B2C,,31.4891431293842,31.2450955567082,0.287660133139216,NaN,NaN,NaN,NaN,60,
,B10,SYBR,cGAS,Unkn-08,B3C,,30.2853645815339,30.2884891793482,0.111047697459961,NaN,NaN,NaN,NaN,60,
,B11,SYBR,cGAS,Unkn-08,B3C,,30.401066201502,30.2884891793482,0.111047697459961,NaN,NaN,NaN,NaN,60,
,B12,SYBR,cGAS,Unkn-08,B3C,,30.1790367550087,30.2884891793482,0.111047697459961,NaN,NaN,NaN,NaN,60,
,C01,SYBR,cGAS,Unkn-09,B4C,,29.4153904792234,29.2717866143848,0.193647618670823,NaN,NaN,NaN,NaN,60,
,C02,SYBR,cGAS,Unkn-09,B4C,,29.0515500238851,29.2717866143848,0.193647618670823,NaN,NaN,NaN,NaN,60,
,C03,SYBR,cGAS,Unkn-09,B4C,,29.348419340046,29.2717866143848,0.193647618670823,NaN,NaN,NaN,NaN,60,
,C04,SYBR,cGAS,Unkn-10,B5C,,28.9700876539708,29.0714748560145,0.102084712835024,NaN,NaN,NaN,NaN,60,
,C05,SYBR,cGAS,Unkn-10,B5C,,29.0700938467074,29.0714748560145,0.102084712835024,NaN,NaN,NaN,NaN,60,
,C06,SYBR,cGAS,Unkn-10,B5C,,29.1742430673654,29.0714748560145,0.102084712835024,NaN,NaN,NaN,NaN,60,
,C07,SYBR,cGAS,Unkn-11,C1C,,29.1613359356687,29.6482445067858,0.717289549180406,NaN,NaN,NaN,NaN,60,
,C08,SYBR,cGAS,Unkn-11,C1C,,29.311445115154,29.6482445067858,0.717289549180406,NaN,NaN,NaN,NaN,60,
,C09,SYBR,cGAS,Unkn-11,C1C,,30.4719524695347,29.6482445067858,0.717289549180406,NaN,NaN,NaN,NaN,60,
,C10,SYBR,cGAS,Unkn-12,C2C,,30.0297140002396,29.8244895289822,0.186092818166475,NaN,NaN,NaN,NaN,60,
,C11,SYBR,cGAS,Unkn-12,C2C,,29.7770381877532,29.8244895289822,0.186092818166475,NaN,NaN,NaN,NaN,60,
,C12,SYBR,cGAS,Unkn-12,C2C,,29.6667163989537,29.8244895289822,0.186092818166475,NaN,NaN,NaN,NaN,60,
,D01,SYBR,cGAS,Unkn-13,C3C,,30.1558898919671,30.1360618388592,0.0352577094809066,NaN,NaN,NaN,NaN,60,
,D02,SYBR,cGAS,Unkn-13,C3C,,30.1569413556268,30.1360618388592,0.0352577094809066,NaN,NaN,NaN,NaN,60,
,D03,SYBR,cGAS,Unkn-13,C3C,,30.0953542689836,30.1360618388592,0.0352577094809066,NaN,NaN,NaN,NaN,60,
,D04,SYBR,cGAS,Unkn-14,C4C,,30.4636667281117,30.2937663124985,0.147196019928422,NaN,NaN,NaN,NaN,60,
,D05,SYBR,cGAS,Unkn-14,C4C,,30.204686351235,30.2937663124985,0.147196019928422,NaN,NaN,NaN,NaN,60,
,D06,SYBR,cGAS,Unkn-14,C4C,,30.2129458581487,30.2937663124985,0.147196019928422,NaN,NaN,NaN,NaN,60,
,D07,SYBR,cGAS,Unkn-15,C5C,,32.4043457756124,32.1986425478655,0.186634832379904,NaN,NaN,NaN,NaN,60,
,D08,SYBR,cGAS,Unkn-15,C5C,,32.0401384656879,32.1986425478655,0.186634832379904,NaN,NaN,NaN,NaN,60,
,D09,SYBR,cGAS,Unkn-15,C5C,,32.1514434022961,32.1986425478655,0.186634832379904,NaN,NaN,NaN,NaN,60,
,D10,SYBR,cGAS,Unkn-16,D1C,,29.0549299724811,29.3747667638091,0.280020476377713,NaN,NaN,NaN,NaN,60,
,D11,SYBR,cGAS,Unkn-16,D1C,,29.4935781360396,29.3747667638091,0.280020476377713,NaN,NaN,NaN,NaN,60,
,D12,SYBR,cGAS,Unkn-16,D1C,,29.5757921829066,29.3747667638091,0.280020476377713,NaN,NaN,NaN,NaN,60,
,E01,SYBR,cGAS,Unkn-17,D2C,,29.7787686795584,29.7857835114844,0.0955687912132208,NaN,NaN,NaN,NaN,60,
,E02,SYBR,cGAS,Unkn-17,D2C,,29.6939154172064,29.7857835114844,0.0955687912132208,NaN,NaN,NaN,NaN,60,
,E03,SYBR,cGAS,Unkn-17,D2C,,29.8846664376885,29.7857835114844,0.0955687912132208,NaN,NaN,NaN,NaN,60,
,E04,SYBR,cGAS,Unkn-18,D3C,,31.2604035119172,31.0616513266447,0.19022232763618,NaN,NaN,NaN,NaN,60,
,E05,SYBR,cGAS,Unkn-18,D3C,,31.0432549263292,31.0616513266447,0.19022232763618,NaN,NaN,NaN,NaN,60,
,E06,SYBR,cGAS,Unkn-18,D3C,,30.8812955416876,31.0616513266447,0.19022232763618,NaN,NaN,NaN,NaN,60,
,E07,SYBR,cGAS,Unkn-19,D4C,,29.3026548354209,29.3510253758367,0.0422674119068736,NaN,NaN,NaN,NaN,60,
,E08,SYBR,cGAS,Unkn-19,D4C,,29.3808455572434,29.3510253758367,0.0422674119068736,NaN,NaN,NaN,NaN,60,
,E09,SYBR,cGAS,Unkn-19,D4C,,29.3695757348457,29.3510253758367,0.0422674119068736,NaN,NaN,NaN,NaN,60,
,E10,SYBR,cGAS,Unkn-20,D5C,,29.8693489907216,30.0960659073531,0.276851042364478,NaN,NaN,NaN,NaN,60,
,E11,SYBR,cGAS,Unkn-20,D5C,,30.0142421957784,30.0960659073531,0.276851042364478,NaN,NaN,NaN,NaN,60,
,E12,SYBR,cGAS,Unkn-20,D5C,,30.4046065355592,30.0960659073531,0.276851042364478,NaN,NaN,NaN,NaN,60,
,F01,SYBR,cGAS,Unkn-21,A1M,,29.3958207457184,29.242617404576,0.161022498118702,NaN,NaN,NaN,NaN,60,
,F02,SYBR,cGAS,Unkn-21,A1M,,29.074775407956,29.242617404576,0.161022498118702,NaN,NaN,NaN,NaN,60,
,F03,SYBR,cGAS,Unkn-21,A1M,,29.2572560600535,29.242617404576,0.161022498118702,NaN,NaN,NaN,NaN,60,
,F04,SYBR,cGAS,Unkn-22,A2M,,29.3035697422072,29.6606667935459,0.42492625409139,NaN,NaN,NaN,NaN,60,
